지점,일시,기온C,풍향deg,풍속ms,강수량mm,습도pct
763,2020-01-01 00:00,-8,104.7,.5,0,81.5
763,2020-01-01 01:00,-7.4,121.7,1.1,0,74.5
763,2020-01-01 02:00,-6.8,0,.2,0,83.4
763,2020-01-01 03:00,-5.1,0,.4,0,79.4
763,2020-01-01 04:00,-4.9,0,.3,0,76.9
763,2020-01-01 05:00,-4.8,37.1,.5,0,76.3
763,2020-01-01 06:00,-4.9,24.5,.9,0,80.4
763,2020-01-01 07:00,-4.9,36.9,.5,0,79.8
763,2020-01-01 08:00,-4.6,0,.4,0,81.8
763,2020-01-01 09:00,-4.1,18.6,.6,0,79.9
763,2020-01-01 10:00,-2.7,24.1,.8,0,75.7
763,2020-01-01 11:00,-1.1,0,.2,0,71.7
763,2020-01-01 12:00,.6,32.5,.9,0,68.6
763,2020-01-01 13:00,2.5,10.2,.6,0,62.7
763,2020-01-01 14:00,3.2,67.4,.9,0,59.4
763,2020-01-01 15:00,3.5,301.1,1.2,0,56.5
763,2020-01-01 16:00,3.5,272.1,1.7,0,57.4
763,2020-01-01 17:00,2.7,0,.4,0,61.6
763,2020-01-01 18:00,.8,0,.2,0,71
763,2020-01-01 19:00,-.9,0,.3,0,80.2
763,2020-01-01 20:00,-1.3,0,.2,0,81.3
763,2020-01-01 21:00,-1.8,0,.1,0,84.8
763,2020-01-01 22:00,-2.5,0,.3,0,87.1
763,2020-01-01 23:00,-3.3,0,0,0,91.9
763,2020-01-02 00:00,-4,0,0,0,93.9
763,2020-01-02 01:00,-4.5,0,0,0,94.8
763,2020-01-02 02:00,-4.3,0,0,0,95.3
763,2020-01-02 03:00,-3.5,0,0,0,94.7
763,2020-01-02 04:00,-3.1,0,0,0,93.8
763,2020-01-02 05:00,-4.1,0,.2,0,95.6
763,2020-01-02 06:00,-4.9,0,0,0,95.6
763,2020-01-02 07:00,-4.5,0,0,0,96.5
763,2020-01-02 08:00,-3.3,0,.2,0,95.6
763,2020-01-02 09:00,-2.1,0,.3,0,95.5
763,2020-01-02 10:00,-.5,291.4,.5,0,90.3
763,2020-01-02 11:00,.5,0,.3,0,84.6
763,2020-01-02 12:00,3.1,0,.4,0,75.3
763,2020-01-02 13:00,4.9,27.5,1,0,69.5
763,2020-01-02 14:00,5.1,315.7,1.2,0,63.8
763,2020-01-02 15:00,5.6,255.6,1.4,0,60.3
763,2020-01-02 16:00,5.2,230.4,1.1,0,62.6
763,2020-01-02 17:00,4.6,224.2,.6,0,67.2
763,2020-01-02 18:00,.8,0,0,0,83.9
763,2020-01-02 19:00,-.5,0,.2,0,89.9
763,2020-01-02 20:00,-1.1,0,.3,0,92.8
763,2020-01-02 21:00,-1,0,.1,0,93.3
763,2020-01-02 22:00,-.9,0,.1,0,93.9
763,2020-01-02 23:00,-.9,0,0,0,92.9
763,2020-01-03 00:00,-.7,0,0,0,94.6
763,2020-01-03 01:00,-1.9,0,0,0,96.8
763,2020-01-03 02:00,-2,0,0,0,97.8
763,2020-01-03 03:00,-1.1,19.2,.5,0,96.8
763,2020-01-03 04:00,-.9,0,.2,0,96.4
763,2020-01-03 05:00,-1.5,0,.1,0,97.1
763,2020-01-03 06:00,-1.3,0,0,0,96.4
763,2020-01-03 07:00,-1.4,0,0,0,97.4
763,2020-01-03 08:00,-1.4,0,0,0,97.2
763,2020-01-03 09:00,-.7,0,0,0,97.2
763,2020-01-03 10:00,2.1,0,.3,0,86.6
763,2020-01-03 11:00,4.6,89.9,.7,0,67.1
763,2020-01-03 12:00,5.4,18.2,1.8,0,63.3
763,2020-01-03 13:00,5.6,353,1.7,0,62
763,2020-01-03 14:00,6.3,26.6,.9,0,61.2
763,2020-01-03 15:00,6.3,248.7,.7,0,59.4
763,2020-01-03 16:00,6.2,274.6,1.7,0,61.5
763,2020-01-03 17:00,5.3,0,.3,0,66.8
763,2020-01-03 18:00,1.7,0,0,0,84.1
763,2020-01-03 19:00,1.7,0,.4,0,83.1
763,2020-01-03 20:00,-.5,0,0,0,91.9
763,2020-01-03 21:00,-1.2,0,.1,0,95.3
763,2020-01-03 22:00,-1.7,0,0,0,94.6
763,2020-01-03 23:00,-2.2,0,0,0,96.1
763,2020-01-04 00:00,-3.3,0,.1,0,94.9
763,2020-01-04 01:00,-3.6,0,.3,0,95
763,2020-01-04 02:00,-4.1,0,0,0,95.4
763,2020-01-04 03:00,-4,0,0,0,97
763,2020-01-04 04:00,-5,0,.2,0,95.7
763,2020-01-04 05:00,-4.7,0,0,0,95.7
763,2020-01-04 06:00,-4.6,0,.4,0,96.3
763,2020-01-04 07:00,-4.6,289.9,.6,0,95.8
763,2020-01-04 08:00,-3.7,0,.4,0,96.5
763,2020-01-04 09:00,-2.3,0,.1,0,94.8
763,2020-01-04 10:00,.1,139,.7,0,87.1
763,2020-01-04 11:00,2.4,23.1,1.2,0,83
763,2020-01-04 12:00,2.6,287.4,1.3,0,82.2
763,2020-01-04 13:00,4.9,81.9,.7,0,73.7
763,2020-01-04 14:00,6.6,269.8,1.6,0,64.4
763,2020-01-04 15:00,7,256.7,1,0,64.2
763,2020-01-04 16:00,6.7,247,1,0,66.6
763,2020-01-04 17:00,5.3,0,.1,0,72.7
763,2020-01-04 18:00,1.9,0,.1,0,87.5
763,2020-01-04 19:00,.5,116.6,.5,0,91.6
763,2020-01-04 20:00,-.9,0,0,0,95.8
763,2020-01-04 21:00,-1.8,0,.1,0,97.2
763,2020-01-04 22:00,-2.1,0,0,0,98.2
763,2020-01-04 23:00,-3,0,.1,0,97.8
763,2020-01-05 00:00,-3.3,0,0,0,97.6
763,2020-01-05 01:00,-3.8,0,0,0,96.2
763,2020-01-05 02:00,-3.8,0,0,0,96.3
763,2020-01-05 03:00,-4.5,0,0,0,95.5
763,2020-01-05 04:00,-5.2,0,0,0,96
763,2020-01-05 05:00,-5,0,.1,0,96.4
763,2020-01-05 06:00,-5.7,0,0,0,95.4
763,2020-01-05 07:00,-6.1,0,.4,0,94.8
763,2020-01-05 08:00,-6.4,0,0,0,95.2
763,2020-01-05 09:00,-4.4,0,0,0,94.5
763,2020-01-05 10:00,-1.5,0,.2,0,89.7
763,2020-01-05 11:00,.7,41.2,1,0,76.7
763,2020-01-05 12:00,3.7,49.6,1.2,0,57.2
763,2020-01-05 13:00,6.2,15.7,1.7,0,50.9
763,2020-01-05 14:00,7.3,333.8,1.9,0,41
763,2020-01-05 15:00,7.2,335,1.7,0,41.3
763,2020-01-05 16:00,7.2,346.1,1.7,0,39.5
763,2020-01-05 17:00,5.8,0,.1,0,46.8
763,2020-01-05 18:00,2.4,0,0,0,65.7
763,2020-01-05 19:00,1.6,0,.2,0,64
763,2020-01-05 20:00,.2,0,0,0,70.8
763,2020-01-05 21:00,.3,0,0,0,68.4
763,2020-01-05 22:00,-1.1,0,0,0,77.8
763,2020-01-05 23:00,-1.5,0,0,0,83.2
763,2020-01-06 00:00,-1.2,0,.4,0,73.6
763,2020-01-06 01:00,-1,0,0,0,80.1
763,2020-01-06 02:00,0,0,.2,0,75.5
763,2020-01-06 03:00,.4,0,0,0,75
763,2020-01-06 04:00,.5,274.3,.7,0,75.2
763,2020-01-06 05:00,.9,0,.1,0,71.5
763,2020-01-06 06:00,.6,0,.4,0,84.9
763,2020-01-06 07:00,.4,258,.5,.5,93.4
763,2020-01-06 08:00,.6,0,.4,.5,96.6
763,2020-01-06 09:00,1,0,.4,0,96
763,2020-01-06 10:00,1.3,0,.1,.5,96.9
763,2020-01-06 11:00,2.6,0,.4,.5,98.3
763,2020-01-06 12:00,3.8,304.6,.6,0,98.6
763,2020-01-06 13:00,4.4,0,.4,0,97.1
763,2020-01-06 14:00,4.7,0,0,0,97.7
763,2020-01-06 15:00,5,0,.2,.5,98.4
763,2020-01-06 16:00,5.1,312.8,.6,0,97.7
763,2020-01-06 17:00,5,302.9,.5,.5,99
763,2020-01-06 18:00,5,283,.5,.5,99.6
763,2020-01-06 19:00,5.2,0,.3,3,99.9
763,2020-01-06 20:00,5.3,309.3,.6,2,99.9
763,2020-01-06 21:00,5.4,4,.8,.5,99.9
763,2020-01-06 22:00,5.4,348.8,1.8,1,99.9
763,2020-01-06 23:00,5.5,0,0,1,99.5
763,2020-01-07 00:00,5.5,0,.4,2,99.7
763,2020-01-07 01:00,5.6,326.3,.7,2.5,99.8
763,2020-01-07 02:00,5.7,0,.4,3.5,99.9
763,2020-01-07 03:00,5.8,295.4,.7,1.5,99.9
763,2020-01-07 04:00,6,302.3,1.1,1,99.9
763,2020-01-07 05:00,6,19,.5,3.5,99.9
763,2020-01-07 06:00,6,0,0,3,99.9
763,2020-01-07 07:00,6.2,295.6,.8,1.5,99.9
763,2020-01-07 08:00,6.2,0,0,2.5,99.9
763,2020-01-07 09:00,6.3,0,.2,2,99.9
763,2020-01-07 10:00,6.5,0,.1,.5,99.9
763,2020-01-07 11:00,6.9,0,.3,.5,99.9
763,2020-01-07 12:00,7.2,9.5,.6,1,99.9
763,2020-01-07 13:00,7.5,0,.4,1,99.9
763,2020-01-07 14:00,7.8,0,.4,2,99.9
763,2020-01-07 15:00,8.1,0,.3,4.5,99.9
763,2020-01-07 16:00,8.9,0,.3,4.5,99.9
763,2020-01-07 17:00,15.1,158.1,1.9,1.5,99.9
763,2020-01-07 18:00,15.7,160.5,2,2.5,97.5
763,2020-01-07 19:00,15.8,154.9,1.7,6,97.8
763,2020-01-07 20:00,16,190.4,2.2,4.5,97.8
763,2020-01-07 21:00,14.8,177.4,2.7,1.5,91.4
763,2020-01-07 22:00,14.1,190.3,2.2,4.5,95.1
763,2020-01-07 23:00,11.5,240.6,4.8,1.5,96.2
763,2020-01-08 00:00,10.3,240.7,5.7,1,94.3
763,2020-01-08 01:00,8,234.8,3.4,0,94.2
763,2020-01-08 02:00,7.6,268.9,3.4,.5,95.5
763,2020-01-08 03:00,6.6,266.5,6.1,.5,91.6
763,2020-01-08 04:00,5.6,260.6,7,.5,91
763,2020-01-08 05:00,5.2,264.6,4,.5,93.6
763,2020-01-08 06:00,5.2,267.2,6.4,.5,93
763,2020-01-08 07:00,5.1,266.1,4.4,0,92.1
763,2020-01-08 08:00,4.9,276.4,4.6,0,89.5
763,2020-01-08 09:00,4.7,265.5,4.8,0,90.5
763,2020-01-08 10:00,4.7,276.2,4.6,0,88
763,2020-01-08 11:00,4.7,273.8,3.9,0,86.9
